Date,Close
02/05/2002 18.00.00,"3543,12"
03/05/2002 18.00.00,"3496,44"
06/05/2002 18.00.00,"3479,29"
07/05/2002 18.00.00,"3453,29"
08/05/2002 18.00.00,"3540,64"
09/05/2002 18.00.00,"3525,59"
10/05/2002 18.00.00,"3465,12"
13/05/2002 18.00.00,"3511,01"
14/05/2002 18.00.00,"3575,62"
15/05/2002 18.00.00,"3595,73"
16/05/2002 18.00.00,"3579,03"
17/05/2002 18.00.00,"3554,77"
20/05/2002 18.00.00,"3518,98"
21/05/2002 18.00.00,"3512,88"
22/05/2002 18.00.00,"3459,02"
23/05/2002 18.00.00,"3467,67"
24/05/2002 18.00.00,"3477,06"
27/05/2002 18.00.00,"3500,94"
28/05/2002 18.00.00,"3472,4"
29/05/2002 18.00.00,"3462,38"
30/05/2002 18.00.00,"3388,44"
31/05/2002 18.00.00,"3425,79"
03/06/2002 18.00.00,"3382,54"
04/06/2002 18.00.00,"3260,01"
05/06/2002 18.00.00,"3267,77"
06/06/2002 18.00.00,"3277,53"
07/06/2002 18.00.00,"3210,5"
10/06/2002 18.00.00,"3205,36"
11/06/2002 18.00.00,"3265,27"
12/06/2002 18.00.00,"3176,95"
13/06/2002 18.00.00,"3142,21"
14/06/2002 18.00.00,"3054,5"
17/06/2002 18.00.00,3193
18/06/2002 18.00.00,"3188,26"
19/06/2002 18.00.00,"3122,35"
20/06/2002 18.00.00,"3057,43"
21/06/2002 18.00.00,"3036,29"
24/06/2002 18.00.00,"2928,72"
25/06/2002 18.00.00,"3008,29"
26/06/2002 18.00.00,"2949,07"
27/06/2002 18.00.00,"3002,74"
28/06/2002 18.00.00,"3133,39"
01/07/2002 18.00.00,"3131,39"
02/07/2002 18.00.00,"2999,17"
03/07/2002 18.00.00,"2928,94"
04/07/2002 18.00.00,"3013,8"
05/07/2002 18.00.00,"3165,47"
08/07/2002 18.00.00,"3155,88"
09/07/2002 18.00.00,"3113,69"
10/07/2002 18.00.00,"2983,47"
11/07/2002 18.00.00,"2883,92"
12/07/2002 18.00.00,"2886,3"
15/07/2002 18.00.00,"2709,22"
16/07/2002 18.00.00,"2713,73"
17/07/2002 18.00.00,"2819,63"
18/07/2002 18.00.00,"2850,14"
19/07/2002 18.00.00,"2695,46"
22/07/2002 18.00.00,"2544,95"
23/07/2002 18.00.00,"2458,56"
24/07/2002 18.00.00,"2438,31"
25/07/2002 18.00.00,"2515,2"
26/07/2002 18.00.00,"2536,93"
29/07/2002 18.00.00,"2723,01"
