DATE;MABMM301USM189S
2012-02-01;9785700000000.0
2012-03-01;9830600000000.0
2012-04-01;9884600000000.0
2012-05-01;9928400000000.0
2012-06-01;9999300000000.0
2012-07-01;10051800000000.0
2012-08-01;10121300000000.0
2012-09-01;10200800000000.0
2012-10-01;10267300000000.0
2012-11-01;10337600000000.0
2012-12-01;10459700000000.0
2013-01-01;10482900000000.0
2013-02-01;10501300000000.0
2013-03-01;10558300000000.0
2013-04-01;10586300000000.0
2013-05-01;10621000000000.0
2013-06-01;10678700000000.0
2013-07-01;10718400000000.0
2013-08-01;10776600000000.0
2013-09-01;10837200000000.0
2013-10-01;10961600000000.0
2013-11-01;10969700000000.0
2013-12-01;11035000000000.0
2014-01-01;11080800000000.0
2014-02-01;11178800000000.0
2014-03-01;11208100000000.0
2014-04-01;11257700000000.0
2014-05-01;11321000000000.0
2014-06-01;11374900000000.0
2014-07-01;11429900000000.0
2014-08-01;11458900000000.0
2014-09-01;11499800000000.0
2014-10-01;11566000000000.0
2014-11-01;11604800000000.0
2014-12-01;11684900000000.0
2015-01-01;11745600000000.0
2015-02-01;11879000000000.0
2015-03-01;11886800000000.0
2015-04-01;11928900000000.0
2015-05-01;11957900000000.0
2015-06-01;12001700000000.0
2015-07-01;12051300000000.0
2015-08-01;12101900000000.0
2015-09-01;12160800000000.0
2015-10-01;12195900000000.0
2015-11-01;12284600000000.0
2015-12-01;12346800000000.0
2016-01-01;12469900000000.0
2016-02-01;12556700000000.0
2016-03-01;12616700000000.0
2016-04-01;12700400000000.0
2016-05-01;12766200000000.0
2016-06-01;12829400000000.0
2016-07-01;12887700000000.0
2016-08-01;12972800000000.0
2016-09-01;13033600000000.0
2016-10-01;13100500000000.0
2016-11-01;13173400000000.0
2016-12-01;13213400000000.0
2017-01-01;13283400000000.0
2017-02-01;13358800000000.0
2017-03-01;13426900000000.0
2017-04-01;13484900000000.0
2017-05-01;13538100000000.0
2017-06-01;13559200000000.0
2017-07-01;13618700000000.0
2017-08-01;13673700000000.0
2017-09-01;13717900000000.0
2017-10-01;13770100000000.0
2017-11-01;13799900000000.0
2017-12-01;13857900000000.0
2018-01-01;13869700000000.0
2018-02-01;13912300000000.0
2018-03-01;13970200000000.0
2018-04-01;13988800000000.0
2018-05-01;14047200000000.0
2018-06-01;14103600000000.0
2018-07-01;14139200000000.0
2018-08-01;14181300000000.0
2018-09-01;14212900000000.0
2018-10-01;14222500000000.0
2018-11-01;14236800000000.0
2018-12-01;14362700000000.0
2019-01-01;14430000000000.0
2019-02-01;14469900000000.0
2019-03-01;14509900000000.0
2019-04-01;14541000000000.0
2019-05-01;14643200000000.0
2019-06-01;14757700000000.0
2019-07-01;14840600000000.0
2019-08-01;14914600000000.0
2019-09-01;15008100000000.0
2019-10-01;15140800000000.0
2019-11-01;15242200000000.0
2019-12-01;15320700000000.0
2020-01-01;15396000000000.0
2020-02-01;15450300000000.0
2020-03-01;15978700000000.0
2020-04-01;16997599999999.998
2020-05-01;17851100000000.0
2020-06-01;18131700000000.0
2020-07-01;18286300000000.0
2020-08-01;18346000000000.0
2020-09-01;18577300000000.0
2020-10-01;18729100000000.0
2020-11-01;18949300000000.0
2020-12-01;19114400000000.0
2021-01-01;19357000000000.0
2021-02-01;19600000000000.0
2021-03-01;19840500000000.0
2021-04-01;20116700000000.0
2021-05-01;20431000000000.0
2021-06-01;20506600000000.0
2021-07-01;20663000000000.0
2021-08-01;20847800000000.0
2021-09-01;20964300000000.0
2021-10-01;21115600000000.0
2021-11-01;21315800000000.0
2021-12-01;21549300000000.0
2022-01-01;21562300000000.0
2022-02-01;21570700000000.0
2022-03-01;21697900000000.0
2022-04-01;21677100000000.0
2022-05-01;21665500000000.0
2022-06-01;21666100000000.0
2022-07-01;21703600000000.0
2022-08-01;21659700000000.0
2022-09-01;21525100000000.0
2022-10-01;21433200000000.0
2022-11-01;21399300000000.0
2022-12-01;21358300000000.0
2023-01-01;21221700000000.0
2023-02-01;21099800000000.0
2023-03-01;20876000000000.0
2023-04-01;20705400000000.0
2023-05-01;20820700000000.0
2023-06-01;20854500000000.0
2023-07-01;20863700000000.0
2023-08-01;20825500000000.0
2023-09-01;20755300000000.0
2023-10-01;20725600000000.0
2023-11-01;20767400000000.0
